date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:46	13451/13451	---M-Z	200	added ('OK')	text/javascript	etag:%2227f10b717242922531bbee0a9e490dca%22	https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__settings/3.4.0.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__settings/3.4.0.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:46	18/18	---M--	404	error ('Not%20Found')	text/javascript	date:Mon,%2024%20Nov%202025%2019:27:50%20GMT	https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__cart-panel-context/1.5.0.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__cart-panel-context/1.5.0.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:46	14633/14633	---M-Z	200	added ('OK')	text/javascript	etag:%22789332209596d80937427ceb1c133446%22	https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee_common__currency/4.5.1.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/modules-federation/live/0/shopee_common__currency/4.5.1.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:46	13038/13038	---M-Z	200	added ('OK')	text/javascript	etag:%227a2c7c8c3295b57b3367624935640dd9%22	https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__settings/3.4.0.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__settings/3.4.0.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:46	3727/3727	---M-Z	200	added ('OK')	text/javascript	etag:%22c834e96bcf1b61d9bbb739a7ba7c9c78%22	https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__domain/3.3.2.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__domain/3.3.2.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:47	8051/8051	---M-Z	200	added ('OK')	text/javascript	etag:%22acb300e2a5f783491c8f6290ef2dd3b4%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/407.84d78b62afc6682d54f2.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/407.84d78b62afc6682d54f2.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:48	15010/15010	---M-Z	200	added ('OK')	text/javascript	etag:%22adc9d07b6503b8ed11d676aee2050f23%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/787.c2cf4b17538545c99176.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/787.c2cf4b17538545c99176.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:50	9149/9149	---M-Z	200	added ('OK')	text/javascript	etag:%2249c4a6c67f580b43477c6f65ced3e57c%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/718.bf37ff78f1378a673a63.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/718.bf37ff78f1378a673a63.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:50	7481/7481	---M-Z	200	added ('OK')	text/javascript	etag:%22be46527144013184b1d3e836ea7179f0%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/226.31814b97e2754e5b3569.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/226.31814b97e2754e5b3569.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:50	6993/6993	---M-Z	200	added ('OK')	text/javascript	etag:%224c0a1dc493427cd1f40285567eca0391%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/524.0e4747e736efd76de32d.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/antifraudivs/524.0e4747e736efd76de32d.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
